T,M,Time
1,1,0.253673
1,10,17.6496192
1,20,23.4369788
1,30,31.8773868
1,40,43.2240846
1,50,58.3791732
1,100,60.388672
10,1,0.4443692
10,10,2.4471214
10,20,3.2901612
10,30,3.8805792
10,40,4.859085
10,50,6.3514422
10,100,6.4470782
20,1,0.4692822
20,10,1.5230052
20,20,1.957962
20,30,2.4682698
20,40,2.8378502
20,50,3.4084516
20,100,3.4316764
